Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,App,Asian,Bay school of san francisco,5
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,App,Hispanic/ Latino,Bay school of san francisco,3
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,Adm,All,Bay school of san francisco,7
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,App,All,Bay school of san francisco,33
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,Adm,White,Bellarmine college preparatory,4
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,App,White,Bellarmine college preparatory,50
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,Adm,Asian,Bellarmine college preparatory,20
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,App,Asian,Bellarmine college preparatory,77
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,App,Hispanic/ Latino,Bellarmine college preparatory,23
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,App,African American,Bellarmine college preparatory,5
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,Enr,All,Bellarmine college preparatory,3
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,Adm,All,Bellarmine college preparatory,31
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,App,All,Bellarmine college preparatory,173
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,App,White,Berean christian high school,5
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,App,Asian,Berean christian high school,4
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,Adm,All,Berean christian high school,4
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,App,All,Berean christian high school,13
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,Inter- national,Bishop alemany high school,7
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Adm,White,Bishop alemany high school,3
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,White,Bishop alemany high school,8
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Adm,Asian,Bishop alemany high school,4
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,Asian,Bishop alemany high school,11
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,Hispanic/ Latino,Bishop alemany high school,16
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,African American,Bishop alemany high school,5
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Enr,All,Bishop alemany high school,4
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Adm,All,Bishop alemany high school,10
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,All,Bishop alemany high school,47
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,App,Inter- national,Bishop amat memorial hs,3
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,App,White,Bishop amat memorial hs,3
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Enr,Asian,Bishop amat memorial hs,3
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Adm,Asian,Bishop amat memorial hs,10
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,App,Asian,Bishop amat memorial hs,17
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Enr,Hispanic/ Latino,Bishop amat memorial hs,7
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Adm,Hispanic/ Latino,Bishop amat memorial hs,18
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,App,Hispanic/ Latino,Bishop amat memorial hs,42
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Adm,African American,Bishop amat memorial hs,3
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,App,African American,Bishop amat memorial hs,6
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Enr,All,Bishop amat memorial hs,14
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Adm,All,Bishop amat memorial hs,35
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,App,All,Bishop amat memorial hs,71
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,Adm,Hispanic/ Latino,Bishop conaty our lady loretto,3
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,App,Hispanic/ Latino,Bishop conaty our lady loretto,14
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,Adm,All,Bishop conaty our lady loretto,4
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,App,All,Bishop conaty our lady loretto,16
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Adm,Inter- national,Bishop montgomery high school,3
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,App,Inter- national,Bishop montgomery high school,16
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Adm,White,Bishop montgomery high school,4
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,App,White,Bishop montgomery high school,10
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Adm,Asian,Bishop montgomery high school,5
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,App,Asian,Bishop montgomery high school,19
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Adm,Hispanic/ Latino,Bishop montgomery high school,3
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,App,Hispanic/ Latino,Bishop montgomery high school,18
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Adm,African American,Bishop montgomery high school,4
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,App,African American,Bishop montgomery high school,20
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Enr,All,Bishop montgomery high school,4
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Adm,All,Bishop montgomery high school,19
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,App,All,Bishop montgomery high school,84
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,Adm,Hispanic/ Latino,Bishop mora salesian hs,5
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,App,Hispanic/ Latino,Bishop mora salesian hs,14
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,Adm,All,Bishop mora salesian hs,6
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,App,All,Bishop mora salesian hs,15
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,App,Inter- national,Bishop odowd high school,9
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,App,Domestic unknown,Bishop odowd high school,4
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,Adm,White,Bishop odowd high school,16
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,App,White,Bishop odowd high school,55
