Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
ACADEMIES OF ANTELOPE VALLEY54659,ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,Adm,All,Academies of antelope valley,3
ACADEMIES OF ANTELOPE VALLEY54659,ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,App,All,Academies of antelope valley,5
ACADEMY OF CAREERS/EXPLORATION51123,ACADEMY OF CAREERS/EXPLORATION,Helendale,San Bernardino,Adm,All,Academy of careers/exploration,4
ACADEMY OF CAREERS/EXPLORATION51123,ACADEMY OF CAREERS/EXPLORATION,Helendale,San Bernardino,App,All,Academy of careers/exploration,5
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Enr,Asian,Academy of medical arts at carson,10
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Adm,Asian,Academy of medical arts at carson,19
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,App,Asian,Academy of medical arts at carson,27
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Adm,Hispanic/ Latino,Academy of medical arts at carson,9
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,App,Hispanic/ Latino,Academy of medical arts at carson,21
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Adm,African American,Academy of medical arts at carson,3
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,App,African American,Academy of medical arts at carson,9
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Enr,All,Academy of medical arts at carson,13
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Adm,All,Academy of medical arts at carson,31
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,App,All,Academy of medical arts at carson,57
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Adm,Hispanic/ Latino,Academy of scientific explorat,9
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,App,Hispanic/ Latino,Academy of scientific explorat,14
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Enr,All,Academy of scientific explorat,5
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Adm,All,Academy of scientific explorat,10
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,App,All,Academy of scientific explorat,15
ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Enr,White,Academy of the canyons,11
ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Adm,White,Academy of the canyons,14
ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App,White,Academy of the canyons,23
