Record Type,School,Charter Yes/No,Public Yes/No,Street City,Street Zip,
School,Kerman High,N,Y,Kerman,93630-1001,
School,Kerman Unified Online,N,Y,Kerman,93630-1345,
School,Chestry Oak Academy,N,N,Squaw Valley,93675-9666,
School,Immanuel Schools,N,N,Reedley,93654-3726,
School,Kings Canyon Continuation,N,Y,Dinuba,93618-9208,
School,Kings Canyon Online,Y,Y,Dunlap,93621,
School,Mountain View (Alternative),N,Y,Reedley,93654-2426,
School,Orange Cove High,N,Y,Orange Cove,93646-2374,
School,Reedley High,N,Y,Reedley,93654-2418,
School,Reedley Middle College High,Y,Y,Reedley,93654-2017,
School,Sequoia Christian School,N,N,Squaw Valley,93675-9635,
School,Kingsburg High,N,Y,Kingsburg,93631-1629,
School,Kingsburg Independent Study High,N,Y,Kingsburg,93631-1457,
School,Oasis Continuation High,N,Y,Kingsburg,93631-1457,
School,Laton High,N,Y,Laton,93242-0248,
School,Laton Online Academy,N,Y,Laton,93242,
School,Mendota Continuation High,N,Y,Mendota,93640-2234,
School,Mendota High,N,Y,Mendota,93640,
School,California Virtual Academy at Fresno,Y,Y,Simi Valley,93065-1800,
School,Parlier High,N,Y,Parlier,93648-2028,
School,San Joaquin Valley High,N,Y,Parlier,93648-2034,
School,Lerona Education Camp,N,N,Auberry,93602-9630,
School,Sloth Academy,N,N,Prather,93651-9650,
School,Ambassador Phillip V. Sanchez II Public Charter,Y,Y,Fresno,93706-3117,
School,Horizon High,N,Y,Riverdale,93656-9401,
School,Riverdale Assembly of God dba Riverdale Christian Academy,N,N,Riverdale,93656-9409,
School,Riverdale High,N,Y,Riverdale,93656-0726,
School,Hallmark Academy,N,Y,Sanger,93657-2780,
School,Hallmark Charter,Y,Y,Sanger,93657-2780,
School,Kings River High (Continuation),N,Y,Sanger,93657-2895,
School,Sanger High,N,Y,Sanger,93657-2985,
School,Sanger West High,N,Y,Fresno,93727,
School,Heartland High (Continuation),N,Y,Selma,93662-3488,
