,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
178,Bolsa Grande High,1,0,139.0,90.0,63598,6736,0.07605736068251952,0.29085738488533913,0.2373691535063835,0.053185696133599566
179,Garden Grove High,1,0,96.0,60.0,75653,15291,0.061816516726822174,0.2887464310725637,0.25892905241609654,0.05473253245703819
180,Pacifica High,1,0,51.0,37.0,105189,5403,0.023272661414470704,0.2250294304084035,0.32382504754142893,0.12487548673367745
181,Rancho Alamitos High,1,0,50.0,32.0,65934,9432,0.05805227655986509,0.32099494097807757,0.2561973018549747,0.04797639123102867
182,Santiago High,1,0,56.0,35.0,70680,11730,0.06842740811840109,0.32343561321484965,0.1988419977087655,0.03935350032510759
183,Gardena Senior High,1,0,38.0,22.0,63620,3909,0.01867073743541569,0.29039455143259746,0.2679661813057774,0.10004697040864255
184,Gilroy High,1,0,15.0,11.0,108494,18154,0.033462065528840165,0.23687554503550518,0.2675221128690669,0.09497944437523359
185,Glendale High,1,0,24.0,18.0,47160,14052,0.03910220214568041,0.2563876341050254,0.3490612648221344,0.12041219649915302
186,Herbert Hoover High,1,0,21.0,16.0,81665,9359,0.00956064024062735,0.22274143302180685,0.3984316253088409,0.161940058008379
187,Glendora High,1,0,67.0,44.0,108750,8688,0.008206457186049022,0.19706295216499298,0.3753914264118346,0.18469927653601123
188,Dos Pueblos Senior High,1,0,51.0,34.0,70878,16568,0.02679122597637763,0.13704267665336023,0.34404708012675417,0.24531873739660068
189,Granada Hills Charter,1,1,148.0,104.0,103329,17915,0.02495162951981305,0.2363243460562354,0.3380154282986155,0.1267432218508933
190,John F. Kennedy High,1,0,54.0,33.0,103329,17915,0.02495162951981305,0.2363243460562354,0.3380154282986155,0.1267432218508933
191,Valley Academy of Arts and Sciences,1,0,14.0,7.0,103329,17915,0.02495162951981305,0.2363243460562354,0.3380154282986155,0.1267432218508933
192,Grand Terrace High School at the Ray Abril Jr. Educational Complex,1,0,71.0,41.0,70200,4380,0.016901408450704224,0.30783098591549296,0.24304225352112677,0.10456338028169014
193,Granite Bay High,1,0,24.0,22.0,171325,8019,0.002699309478970496,0.1292529817953547,0.42310106716886375,0.2549278091650973
194,Glen A. Wilson High,1,0,68.0,47.0,88702,16467,0.02875494809171708,0.26678616774964525,0.33226280279831705,0.10648044414569174
195,Los Altos High,1,0,39.0,19.0,88702,16467,0.02875494809171708,0.26678616774964525,0.33226280279831705,0.10648044414569174
