,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
523,Paso Robles High,1,0,20.0,,76859,17667,0.017357642357642356,0.2616758241758242,0.3027597402597403,0.07992007992007992
524,Patterson High,1,0,29.0,6.0,72898,7847,0.05316824471959213,0.33594319009468315,0.14287448409808207,0.04946588977907259
525,Citrus Hill High,1,0,28.0,4.0,62764,14185,0.0570913953551838,0.39546434516824497,0.10124716862702289,0.024070081598122423
526,Orange Vista High,1,0,29.0,,69444,13134,0.06256690852860711,0.3619305340787439,0.14071606994171523,0.034970857618651124
527,Perris High,1,0,18.0,3.0,69444,13134,0.06256690852860711,0.3619305340787439,0.14071606994171523,0.034970857618651124
528,Casa Grande High,1,0,46.0,8.0,95724,13878,0.016357378561544192,0.21413618138594187,0.33676329702302804,0.1136145903558883
529,Petaluma High,1,0,48.0,7.0,92314,13834,0.011465853376056828,0.16048334169787284,0.3607690228931012,0.17526927382928617
530,Serrano High,1,0,20.0,3.0,62143,5436,0.008007320979180966,0.3959429573705483,0.16289178677648136,0.04133302829253413
531,El Rancho High,1,0,45.0,10.0,70620,17060,0.06752733193765992,0.35340776924866246,0.16741102581995812,0.036520120958362406
532,Piedmont High,1,0,92.0,9.0,136538,16854,0.0055671537926235215,0.0693574576664347,0.43927494449415116,0.36435033303509295
533,Mountain Empire High,1,0,4.0,,130938,937,0.0,0.19958527734577503,0.5106272680145153,0.06946604458268534
534,Pinole Valley High,1,0,47.0,11.0,105217,6750,0.023997854940340527,0.19238503820887518,0.3487062608928811,0.0981364794208339
535,Pittsburg Senior High,1,0,70.0,15.0,78985,27807,0.03972904851921865,0.3099243856332703,0.22734719596723377,0.051764335223692504
536,El Dorado High,1,0,48.0,4.0,100685,16813,0.021363636363636362,0.1940909090909091,0.34883522727272726,0.1469034090909091
537,Valencia High,1,0,119.0,22.0,100685,16813,0.021363636363636362,0.1940909090909091,0.34883522727272726,0.1469034090909091
538,Sky Mountain Charter,1,1,5.0,,74324,14053,0.009182061923825615,0.2708708267528556,0.3257795570573328,0.08605428435009366
539,College Park High,1,0,64.0,8.0,124375,13859,0.015136466568670294,0.12256167812164794,0.45870247507051765,0.18235270748083113
