,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
36,Centennial High,1,0,35.0,11.0,97615,18584,0.009698697523617865,0.22701101235396054,0.3200290681424339,0.10976018782492034
37,East Bakersfield High,1,0,16.0,4.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
38,Foothill High,1,0,18.0,8.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
39,Frontier High,1,0,26.0,12.0,110877,9909,0.009960259570400925,0.196539061320992,0.3080134815634589,0.14482619850093062
40,Highland High,1,0,38.0,14.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
41,Independence High,1,0,33.0,12.0,93200,15182,0.013729423156729838,0.21140545026974686,0.34019228109005395,0.1606722921565915
42,Liberty High,1,0,50.0,12.0,97615,18584,0.009698697523617865,0.22701101235396054,0.3200290681424339,0.10976018782492034
43,Mira Monte High,1,0,38.0,8.0,42128,22422,0.06982031215844008,0.3680103178419971,0.10713505005902155,0.011891750098369257
44,Ridgeview High,1,0,33.0,10.0,83312,15244,0.023390954714876882,0.3202829219616705,0.22440055175652276,0.04370029055263699
45,Stockdale High,1,0,103.0,23.0,93200,15182,0.013729423156729838,0.21140545026974686,0.34019228109005395,0.1606722921565915
46,West High,1,0,25.0,8.0,52268,21448,0.022868145490992534,0.31706802416057817,0.212908501041859,0.06997599767889642
47,Baldwin Park High,1,0,32.0,13.0,68773,18032,0.07598197037990985,0.3419578918613046,0.1619153544459404,0.020507717223750707
48,Sierra Vista High,1,0,63.0,26.0,68773,18032,0.07598197037990985,0.3419578918613046,0.1619153544459404,0.020507717223750707
49,Beaumont Senior High,1,0,70.0,24.0,86068,17269,0.020364269962701805,0.29694263700961043,0.26489885927418255,0.08690207181944407
50,Bell Senior High,1,0,54.0,22.0,46109,24232,0.06309613611600033,0.3225714525186489,0.09642108792221943,0.01215321431564831
51,Bell Gardens High,1,0,43.0,19.0,46109,24232,0.06309613611600033,0.3225714525186489,0.09642108792221943,0.01215321431564831
52,Bellflower High,1,0,32.0,12.0,63848,22998,0.042512576803006505,0.30397088942355494,0.21530691376190572,0.04664850569684437
53,Carlmont High,1,0,248.0,41.0,159599,10404,0.006629376424280091,0.09483115806919412,0.4261963952765693,0.3227677646571369
54,Berkeley High,1,0,321.0,70.0,46735,8670,0.005933852140077821,0.07266536964980545,0.42733463035019453,0.3271400778210117
55,Beverly Hills High,1,0,109.0,29.0,86496,5728,0.003669328728685517,0.09356788258148069,0.4392402331102957,0.28663932657025687
56,Bloomington High,1,0,55.0,25.0,63529,7748,0.03422865381534682,0.33545148715757994,0.141827308164682,0.040049126929032945
57,Palo Verde High,1,0,10.0,5.0,43822,5788,0.03235238034704125,0.3448801881395792,0.1229263331850251,0.020275853301976735
58,Bonsall High,1,0,9.0,3.0,89201,1849,0.005795421616922631,0.18603303390321646,0.3028107794842075,0.165169516082295
59,Anderson Valley Junior-Senior High,1,0,3.0,,43864,402,0.0,0.25,0.23933649289099526,0.08886255924170616
60,Brawley Union High,1,0,36.0,14.0,47367,7325,0.044763676008465335,0.2612069518373629,0.19624190341820047,0.038991855319694735
61,Brea Olinda High,1,0,98.0,25.0,96700,13902,0.006279377203290247,0.18544359576968272,0.3683901292596945,0.16983695652173914
62,Heritage High,1,0,88.0,21.0,112302,21300,0.00867491290013328,0.22168962050178875,0.34248369069609746,0.11099679659550588
63,Liberty High,1,0,52.0,12.0,112302,21300,0.00867491290013328,0.22168962050178875,0.34248369069609746,0.11099679659550588
