,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
238,Crescenta Valley High,1,0,29.0,27.0,108583,10575,0.008058913436153952,0.1511741003195776,0.40817933398175166,0.2096243805289241
239,La Habra High,1,0,8.0,8.0,86973,21548,0.01981559023812545,0.24603476716152772,0.2947806961891469,0.10612020471175401
240,Grossmont High,1,0,11.0,9.0,66551,16463,0.006810011061946903,0.2012928650442478,0.34845132743362833,0.1346100663716814
241,Helix High,1,1,28.0,26.0,94111,11995,0.009630886720407298,0.1766652524395418,0.33877810776410694,0.1704285108188375
242,La Mirada High,1,0,10.0,10.0,92508,14903,0.016898337421640774,0.24348142091396385,0.32827594561036916,0.11680445776929832
243,John F. Kennedy High,1,0,18.0,17.0,107956,4925,0.01066526794300201,0.18996415770609318,0.4087769909957164,0.16129032258064516
244,La Puente High,1,0,12.0,9.0,74100,18821,0.05719924675889042,0.35664880133265736,0.15577243427247048,0.025657275295140145
245,Nogales High,1,0,20.0,20.0,74100,18821,0.05719924675889042,0.35664880133265736,0.15577243427247048,0.025657275295140145
246,La Quinta High,1,0,16.0,13.0,76158,16231,0.02250729249535932,0.2313046937151949,0.30432909042694245,0.13418191461150888
247,Bonita High,1,0,7.0,7.0,93166,12381,0.012841091492776886,0.20434621558217064,0.3441577149442318,0.1531464789891756
248,Acalanes High,1,0,22.0,22.0,185950,10830,0.0043409058023440895,0.056817633724014854,0.45468576665219695,0.3361308059615106
249,Birmingham Community Charter High,1,1,43.0,39.0,61880,18685,0.038859257646674646,0.2467073037988462,0.2684771960378796,0.08909328398824426
250,Temescal Canyon High,1,0,10.0,9.0,92288,7145,0.03247962000128378,0.2452660632903267,0.34450221451954555,0.06444572822389114
251,El Toro High,1,0,12.0,12.0,99565,21003,0.021031098443928562,0.1747994575585538,0.37954811869354355,0.14855080791596756
252,PUC Community Charter Middle and PUC Community Charter Early College High,1,1,19.0,18.0,79572,24833,0.05395949025776009,0.3039675151670786,0.20686611241292974,0.052627355310884985
