,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
334,"Boyle Heights Science, Technology, Engineering and Math Magnet",1,0,107.0,26.0,45991,11573,0.07843280849505675,0.29307945807396557,0.09714390333211279,0.01669718051995606
335,Contreras Learning Center-Academic Leadership Community,1,0,81.0,25.0,36870,11938,0.056173262370237655,0.1954471201981346,0.26526848290035304,0.11197765716393529
336,YouthBuild Charter School of California,1,1,37.0,5.0,48743,11180,0.04479303352021949,0.16962901109388048,0.30681140403196944,0.16068233329357032
337,Esteban Torres East LA Performing Arts Magnet,1,0,34.0,13.0,50913,13873,0.06426682936750051,0.29100206281414337,0.1383828699264941,0.027949678956390365
338,Los Angeles Senior High,1,0,25.0,6.0,58313,24252,0.04035110145298053,0.2172440240317014,0.30135497890834717,0.11994545996846905
339,Los Angeles Senior High,1,0,49.0,4.0,58313,24252,0.04035110145298053,0.2172440240317014,0.30135497890834717,0.11994545996846905
340,Alliance Marc & Eva Stern Math and Science,1,1,29.0,5.0,59723,13825,0.05854734520245786,0.258358279502127,0.21808728533165275,0.06651961556640933
341,Middle College High,1,0,42.0,17.0,58830,17197,0.03779119439539785,0.3079683317195421,0.19732870080309847,0.0621404567978584
342,New Designs Charter,1,1,24.0,3.0,30530,12248,0.06442844198578855,0.21941914254375508,0.21603319185464256,0.10372454575802376
343,New West Charter,1,1,40.0,11.0,97791,22194,0.007469679526652566,0.09483012503011967,0.4566410537870472,0.2874889561189794
344,"Boyle Heights Science, Technology, Engineering and Math Magnet",1,0,70.0,31.0,45991,11573,0.07843280849505675,0.29307945807396557,0.09714390333211279,0.01669718051995606
345,Santee Education Complex,1,0,84.0,43.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
346,Contreras Learning Center-Academic Leadership Community,1,0,15.0,,36870,11938,0.056173262370237655,0.1954471201981346,0.26526848290035304,0.11197765716393529
347,Camino Nuevo High #2,1,1,17.0,11.0,52775,22528,0.03145646160528542,0.23212856914249136,0.31033536794458544,0.09983311615572778
348,Leadership & Public Service Virtual Academy,1,0,21.0,6.0,30530,12248,0.06442844198578855,0.21941914254375508,0.21603319185464256,0.10372454575802376
349,Synergy Quantum Academy,1,1,36.0,17.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
350,Theodore Roosevelt Senior High,1,0,27.0,,43646,13396,0.07611382005210073,0.2866208002137466,0.13081958453009151,0.031394028455013025
351,Thomas Jefferson Senior High,1,0,16.0,8.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
352,UCLA Community K-12,1,0,44.0,,42398,16331,0.03683952003368185,0.22573854466353238,0.3002245456459196,0.08988842888218371
353,Anahuacalmecac International University Preparatory of North America,1,1,100.0,22.0,59723,13825,0.05854734520245786,0.258358279502127,0.21808728533165275,0.06651961556640933
354,Venice Senior High,1,0,98.0,42.0,87589,26696,0.016483635497216625,0.12361643598241168,0.38973725821474214,0.23878527952866765
355,Wallis Annenberg High,1,1,30.0,23.0,37945,17763,0.08509172131926623,0.29486265564109876,0.10310331717517346,0.022312517821499858
356,WISH Academy High,1,1,11.0,,110535,15469,0.004468940861015939,0.09206018173692834,0.454863697303739,0.23826903023983315
357,Los Banos High,1,0,13.0,,63529,11463,0.04242657761794674,0.3545680280845963,0.1348574364243514,0.028341467591403373
