,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
716,San Fernando Senior High,1,0,48.0,17.0,64479,9015,0.05971973276845364,0.33257291836402153,0.1402965618380316,0.028393351800554016
717,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,1,0,12.0,7.0,64479,9015,0.05971973276845364,0.33257291836402153,0.1402965618380316,0.028393351800554016
718,Vaughn Next Century Learning Center,1,1,19.0,10.0,64479,9015,0.05971973276845364,0.33257291836402153,0.1402965618380316,0.028393351800554016
719,Lincoln (Abraham) High,1,0,246.0,93.0,119800,16019,0.019332692571742412,0.18165591102567624,0.42954826307840177,0.19934093093505423
720,Balboa High,1,0,98.0,25.0,105340,23090,0.06252951301619217,0.23671343051683955,0.31528279181708785,0.09273560907249158
721,"Asawa (Ruth) SF Sch of the Arts, A Public School",1,0,10.0,4.0,172785,12888,0.006897121381076282,0.07752034031305496,0.39755503242060053,0.38504109362739025
722,Galileo High,1,0,173.0,80.0,98567,33011,0.0160193779514737,0.09837567171470445,0.44451229441459045,0.2774995929001791
723,Gateway High,1,1,45.0,16.0,125550,17000,0.007690918938436541,0.09637118613468135,0.44220978515977616,0.3122946380213035
724,Washington (George) High,1,0,195.0,77.0,107158,17809,0.031513589503280225,0.12125117150890347,0.4362406279287723,0.22656982193064668
725,O'Connell (John) High,1,0,11.0,3.0,138890,27069,0.02375780381424784,0.13317369366287524,0.3865560591807064,0.24636962285127853
726,Jordan (June) School for Equity,1,0,5.0,,105340,23090,0.06252951301619217,0.23671343051683955,0.31528279181708785,0.09273560907249158
727,City Arts & Leadership Academy,1,1,25.0,9.0,105340,23090,0.06252951301619217,0.23671343051683955,0.31528279181708785,0.09273560907249158
728,Lowell High,1,0,467.0,208.0,82557,10864,0.024896265560165973,0.1430570298176204,0.4203415999228023,0.19468300685129789
729,Mission High,1,0,66.0,38.0,162529,17000,0.0029662588060808304,0.05777463174571072,0.4591970876731722,0.3594566353187043
730,Burton (Phillip and Sala) Academic High,1,0,89.0,49.0,82810,12520,0.0850162362764806,0.2838410391216948,0.2689345910004639,0.07397556826967681
731,Wallenberg (Raoul) Traditional High,1,0,66.0,18.0,125550,17000,0.007690918938436541,0.09637118613468135,0.44220978515977616,0.3122946380213035
732,"Asawa (Ruth) SF Sch of the Arts, A Public School",1,0,80.0,35.0,172785,12888,0.006897121381076282,0.07752034031305496,0.39755503242060053,0.38504109362739025
733,S.F. International High,1,0,14.0,3.0,166430,14133,0.013851100667820925,0.08281803940967929,0.42884821502184844,0.33131338115260944
734,Gabrielino High,1,0,101.0,46.0,65563,11626,0.09965564738292011,0.28760330578512394,0.28956611570247937,0.0731060606060606
735,San Gabriel High,1,0,51.0,19.0,65563,11626,0.09965564738292011,0.28760330578512394,0.28956611570247937,0.0731060606060606
736,San Jacinto High,1,0,26.0,10.0,46844,9226,0.029445727482678985,0.33318899153194764,0.16084488067744418,0.04286951501154734
737,Abraham Lincoln High,1,0,46.0,26.0,108503,14843,0.020147652471178674,0.13703313088700586,0.37502272975233664,0.2487907771756919
738,Alpha Cindy Avitia High,1,1,26.0,10.0,84335,12010,0.09479959695476937,0.2855743394536498,0.1770040304523063,0.04178795342588446
739,Andrew P. Hill High,1,0,47.0,19.0,77009,15760,0.0710209417502577,0.3147547577745934,0.21540085979334792,0.045503683032908464
740,Branham High,1,0,105.0,27.0,123250,11277,0.01031982563053245,0.17334638138872827,0.3525199056981451,0.23010542235665674
741,Del Mar High,1,0,35.0,17.0,100198,13771,0.019474416331441032,0.21688785292680177,0.3520809052971916,0.1879018008195797
742,Downtown College Prep - Alum Rock,1,1,18.0,11.0,84335,12010,0.09479959695476937,0.2855743394536498,0.1770040304523063,0.04178795342588446
743,Evergreen Valley High,1,0,358.0,118.0,143641,12269,0.044397968329847624,0.18518075888855692,0.375440693158052,0.12945921720944129
744,Gunderson High,1,0,31.0,6.0,119081,15687,0.02612330198537095,0.18931183758769965,0.3530974772354083,0.16730855351545007
745,Independence High,1,0,108.0,45.0,98386,8480,0.05548024300848521,0.206456795702164,0.312547070341919,0.16985489782597782
