,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
90,Calabasas High,1,0,208.0,131.0,149724,9949,0.002849002849002849,0.10105896898349728,0.4097188625490512,0.30247809493092515
91,Calexico High,1,0,95.0,67.0,42739,9362,0.058802352094083764,0.24408976359054363,0.23564942597703908,0.03624144965798632
92,California City High,1,0,6.0,3.0,47641,4161,0.01271051795360661,0.387882639550895,0.12922359919500054,0.05507891113229531
93,Calipatria High,1,0,9.0,8.0,40587,1023,0.010699001426533523,0.38587731811697573,0.03174037089871612,0.010164051355206847
94,Calistoga Junior/Senior High,1,0,35.0,26.0,85263,2772,0.009229191591180994,0.22355152965305075,0.29379593231926165,0.14236882584173646
95,Adolfo Camarillo High,1,0,122.0,77.0,106388,12797,0.0049005357365339095,0.16462477677644421,0.408239544831596,0.17355371900826447
96,Rancho Campana High,1,0,59.0,40.0,95836,15705,0.009180969207470975,0.17017920242301868,0.3592251388187784,0.15109162039374052
97,Coast Union High,1,0,10.0,7.0,74004,2731,0.012564366632337795,0.19031925849639547,0.3357363542739444,0.17837281153450052
98,Westmont High,1,0,118.0,62.0,121231,18038,0.012997051329764392,0.1696773639460651,0.41101027740402507,0.20483238384243221
99,Canoga Park Senior High,1,0,44.0,25.0,62848,10326,0.03785367728298986,0.25013210356919824,0.2460489023394341,0.07008694816736322
100,Canyon High,1,0,88.0,52.0,85755,9613,0.015071956437183976,0.2651205756514975,0.2920070011668611,0.07827693504472967
101,Carlsbad High,1,0,208.0,121.0,86046,11340,0.0049,0.148,0.41225,0.22205
102,Sage Creek High,1,0,140.0,82.0,102793,6064,0.027246925260170293,0.12488174077578051,0.41248817407757804,0.2076631977294229
103,Carmel High,1,0,84.0,55.0,108424,5375,0.003639149588201494,0.11760199195556406,0.3789503926450872,0.291802336717104
104,Visions In Education,1,1,36.0,21.0,67766,25581,0.014043274416147564,0.2415311131165944,0.31311219211551583,0.13655873742598665
105,Carpinteria Senior High,1,0,26.0,16.0,82231,6449,0.009926769731489015,0.16981285598047194,0.31708706265256303,0.13995117982099267
106,Academies of Education and Empowerment at Carson High,1,0,22.0,12.0,86981,14495,0.0433266017991555,0.24931154764090324,0.29266437619659574,0.057777544651053
107,Academy of Medical Arts at Carson High,1,0,57.0,31.0,86981,14495,0.0433266017991555,0.24931154764090324,0.29266437619659574,0.057777544651053
